postcode,locality
2155,KELLYVILLE
2155,KELLYVILLE RIDGE
2155,NORTH KELLYVILLE
2155,ROUSE HILL
2156,ANNANGROVE
2156,GLENHAVEN
2156,KENTHURST
2157,CANOELANDS
2157,FOREST GLEN
2157,GLENORIE
2157,HILLSIDE
2158,DURAL
2158,DURAL DC
2158,MIDDLE DURAL
2158,ROUND CORNER
2159,ARCADIA
2159,BERRILEE
2159,FIDDLETOWN
2159,GALSTON
2160,MERRYLANDS
2160,MERRYLANDS WEST
2161,GUILDFORD
2161,GUILDFORD WEST
2161,OLD GUILDFORD
2161,YENNORA
2162,CHESTER HILL
2162,SEFTON
2163,CARRAMAR
2163,LANSDOWNE
2163,VILLAWOOD
2164,SMITHFIELD
2164,SMITHFIELD WEST
2164,WETHERILL PARK
2164,WETHERILL PARK BC
2164,WOODPARK
2165,FAIRFIELD
2165,FAIRFIELD EAST
2165,FAIRFIELD HEIGHTS
2165,FAIRFIELD WEST
2166,CABRAMATTA
2166,CABRAMATTA WEST
2166,CANLEY HEIGHTS
2166,CANLEY VALE
2166,LANSVALE
2167,GLENFIELD
2168,ASHCROFT
2168,BUSBY
2168,CARTWRIGHT
2168,GREEN VALLEY
2168,HECKENBERG
2168,HINCHINBROOK
2168,MILLER
2168,SADLEIR
2170,CASULA
2170,CASULA MALL
2170,CHIPPING NORTON
2170,HAMMONDVILLE
2170,LIVERPOOL
2170,LIVERPOOL SOUTH
2170,LIVERPOOL WESTFIELD
2170,LURNEA
2170,MOOREBANK
2170,MOUNT PRITCHARD
2170,PRESTONS
2170,WARWICK FARM
2171,CARNES HILL
2171,CECIL HILLS
2171,ELIZABETH HILLS
2171,HORNINGSEA PARK
2171,HOXTON PARK
2171,LEN WATERS ESTATE
2171,MIDDLETON GRANGE
2171,WEST HOXTON
2172,PLEASURE POINT
2172,SANDY POINT
2172,VOYAGER POINT
2173,HOLSWORTHY
2173,WATTLE GROVE
2174,EDMONDSON PARK
2174,INGLEBURN MILPO
2175,HORSLEY PARK
2176,ABBOTSBURY
2176,BOSSLEY PARK
2176,EDENSOR PARK
2176,GREENFIELD PARK
2176,PRAIRIEWOOD
2176,ST JOHNS PARK
2176,WAKELEY
2177,BONNYRIGG
2177,BONNYRIGG HEIGHTS
2177,WENTWORTH PORT
2178,CECIL PARK
2178,KEMPS CREEK
2178,MOUNT VERNON
2179,AUSTRAL
2179,LEPPINGTON
2190,CHULLORA
2190,GREENACRE
2190,MOUNT LEWIS
2191,BELFIELD
2192,BELMORE
2193,ASHBURY
2193,CANTERBURY
2193,HURLSTONE PARK
2194,CAMPSIE
2195,LAKEMBA
2195,LAKEMBA DC
2195,WILEY PARK
2196,PUNCHBOWL
2196,ROSELANDS
2197,BASS HILL
2198,GEORGES HALL
2199,YAGOONA
2199,YAGOONA WEST
2200,BANKSTOWN
2200,BANKSTOWN AERODROME
2200,BANKSTOWN AIRPORT
2200,BANKSTOWN NORTH
2200,BANKSTOWN SQUARE
2200,CONDELL PARK
2200,MANAHAN
2200,MOUNT LEWIS
2203,DULWICH HILL
2204,MARRICKVILLE
2204,MARRICKVILLE METRO
2204,MARRICKVILLE SOUTH
2205,ARNCLIFFE
2205,TURRELLA
2205,WOLLI CREEK
2206,CLEMTON PARK
2206,EARLWOOD
2206,UNDERCLIFFE
2207,BARDWELL PARK
2207,BARDWELL VALLEY
2207,BEXLEY
2207,BEXLEY NORTH
2207,BEXLEY SOUTH
2208,KINGSGROVE
2208,KINGSGROVE DC
2208,KINGSWAY WEST
2209,BEVERLY HILLS
2209,NARWEE
2210,LUGARNO
2210,PEAKHURST
2210,PEAKHURST DC
2210,PEAKHURST HEIGHTS
2210,RIVERWOOD
2211,PADSTOW
2211,PADSTOW HEIGHTS
2212,REVESBY
2212,REVESBY HEIGHTS
2212,REVESBY NORTH
2213,EAST HILLS
2213,PANANIA
2213,PICNIC POINT
2214,MILPERRA
2216,BANKSIA
2216,BRIGHTON LE SANDS
2216,BRIGHTON-LE-SANDS
2216,KYEEMAGH
2216,ROCKDALE
2216,ROCKDALE DC
2217,BEVERLEY PARK
2217,KOGARAH
2217,KOGARAH BAY
2217,MONTEREY
2217,RAMSGATE
2217,RAMSGATE BEACH
2218,ALLAWAH
2218,CARLTON
2219,DOLLS POINT
2219,SANDRINGHAM
2219,SANS SOUCI
2220,HURSTVILLE
2220,HURSTVILLE GROVE
2220,HURSTVILLE WESTFIELD
2221,BLAKEHURST
2221,CARSS PARK
2221,CONNELLS POINT
2221,KYLE BAY
2221,SOUTH HURSTVILLE
2222,PENSHURST
2223,MORTDALE
2223,OATLEY
2224,KANGAROO POINT
2224,SYLVANIA
2224,SYLVANIA SOUTHGATE
2224,SYLVANIA WATERS
2225,CARAVAN HEAD
2225,OYSTER BAY
2226,BONNET BAY
2226,COMO
2226,JANNALI
2227,GYMEA
2227,GYMEA BAY
2228,MIRANDA
2228,YOWIE BAY
2229,CARINGBAH
2229,CARINGBAH SOUTH
2229,DOLANS BAY
2229,LILLI PILLI
2229,PORT HACKING
2229,TAREN POINT
2229,WARUMBUL
2230,BUNDEENA
2230,BURRANEER
2230,CRONULLA
2230,GREENHILLS BEACH
2230,MAIANBAR
2230,WOOLOOWARE
2231,KURNELL
2232,AUDLEY
2232,BONNIE VALE
2232,GARIE
2232,GOARRA
2232,GRAYS POINT
2232,JIBBON
2232,KAREELA
2232,KIRRAWEE
2232,KIRRAWEE DC
2232,LOFTUS
2232,MARLEY
2232,PALONA
2232,SUTHERLAND
2232,ULOOLA
2232,WARUMBUL
2232,WATTAMOLLA
2232,WORONORA
2232,YENABILLI
2233,ENGADINE
2233,HEATHCOTE
2233,WATERFALL
2233,WORONORA HEIGHTS
2233,YARRAWARRAH
2234,ALFORDS POINT
2234,BANGOR
2234,BARDEN RIDGE
2234,ILLAWONG
2234,LUCAS HEIGHTS
2234,MENAI
2234,MENAI CENTRAL
2250,BUCKETTY
2250,CALGA
2250,CENTRAL MANGROVE
2250,DONOVANS FOREST
2250,EAST GOSFORD
2250,ERINA
2250,ERINA FAIR
2250,GLENWORTH VALLEY
2250,GOSFORD
2250,GOSFORD WEST
2250,GREENGROVE
2250,HOLGATE
2250,KARIONG
2250,KULNURA
2250,LISAROW
2250,LOWER MANGROVE
2250,MANGROVE CREEK
2250,MANGROVE MOUNTAIN
2250,MATCHAM
2250,MOONEY MOONEY CREEK
2250,MOUNT ELLIOT
2250,MOUNT WHITE
2250,NARARA
2250,NIAGARA PARK
2250,NORTH GOSFORD
2250,PEATS RIDGE
2250,POINT CLARE
2250,POINT FREDERICK
2250,SOMERSBY
2250,SPRINGFIELD
2250,TASCOTT
2250,TEN MILE HOLLOW
2250,UPPER MANGROVE
2250,WENDOREE PARK
2250,WEST GOSFORD
2250,WYOMING
2251,AVOCA BEACH
2251,BENSVILLE
2251,BOUDDI
2251,COPACABANA
2251,DAVISTOWN
2251,GREEN POINT
2251,KINCUMBER
2251,KINCUMBER SOUTH
2251,MACMASTERS BEACH
2251,PICKETTS VALLEY
2251,SARATOGA
2251,YATTALUNGA
2252,CENTRAL COAST MC
2256,BLACKWALL
2256,HORSFIELD BAY
2256,KOOLEWONG
2256,LITTLE WOBBY
2256,PATONGA
2256,PEARL BEACH
2256,PHEGANS BAY
2256,WONDABYNE
2256,WOY WOY
2256,WOY WOY BAY
2257,BOOKER BAY
2257,BOX HEAD
2257,DALEYS POINT
2257,EMPIRE BAY
2257,ETTALONG BEACH
2257,HARDYS BAY
2257,KILLCARE
2257,KILLCARE HEIGHTS
2257,PRETTY BEACH
2257,ST HUBERTS ISLAND
2257,UMINA BEACH
2257,WAGSTAFFE
2258,FOUNTAINDALE
2258,KANGY ANGY
2258,OURIMBAH
2258,PALM GROVE
2258,PALMDALE
2259,ALISON
2259,BUSHELLS RIDGE
2259,CEDAR BRUSH CREEK
2259,CHAIN VALLEY BAY
2259,CRANGAN BAY
2259,DOORALONG
2259,DURREN DURREN
2259,FRAZER PARK
2259,FREEMANS
2259,GWANDALAN
2259,HALLORAN
2259,HAMLYN TERRACE
2259,JILLIBY
2259,KANWAL
2259,KIAR
2259,KINGFISHER SHORES
2259,LAKE MUNMORAH
2259,LEMON TREE
2259,LITTLE JILLIBY
2259,MANNERING PARK
2259,MARDI
2259,MOONEE
2259,POINT WOLSTONCROFT
2259,RAVENSDALE
2259,ROCKY POINT
2259,SOUTH TACOMA
2259,SUMMERLAND POINT
2259,TACOMA
2259,TACOMA SOUTH
2259,TUGGERAH
2259,TUGGERAWONG
2259,WADALBA
2259,WALLARAH
2259,WARNERVALE
2259,WATANOBBI
2259,WOONGARRAH
2259,WYBUNG
2259,WYEE
2259,WYEE POINT
2259,WYONG
2259,WYONG CREEK
2259,WYONGAH
2259,YARRAMALONG
2260,ERINA HEIGHTS
2260,FORRESTERS BEACH
2260,NORTH AVOCA
2260,TERRIGAL
2260,WAMBERAL
2261,BATEAU BAY
2261,BAY VILLAGE
2261,BERKELEY VALE
2261,BLUE BAY
2261,CHITTAWAY BAY
2261,CHITTAWAY POINT
2261,GLENNING VALLEY
2261,KILLARNEY VALE
2261,LONG JETTY
2261,MAGENTA
2261,SHELLY BEACH
2261,THE ENTRANCE
2261,THE ENTRANCE NORTH
2261,TOOWOON BAY
2261,TUMBI UMBI
2262,BLUE HAVEN
2262,BUDGEWOI
2262,BUDGEWOI PENINSULA
2262,BUFF POINT
2262,COLONGRA
2262,DOYALSON
2262,DOYALSON NORTH
2262,HALEKULANI
2262,SAN REMO
2263,CANTON BEACH
2263,CHARMHAVEN
2263,GOROKAN
2263,LAKE HAVEN
2263,NORAH HEAD
2263,NORAVILLE
2263,TOUKLEY
2264,BALCOLYN
2264,BONNELLS BAY
2264,BRIGHTWATERS
2264,DORA CREEK
2264,ERARING
2264,MANDALONG
2264,MIRRABOOKA
2264,MORISSET
2264,MORISSET PARK
2264,MYUNA BAY
2264,SILVERWATER
2264,SUNSHINE
2264,WINDERMERE PARK
2264,YARRAWONGA PARK
2265,COORANBONG
2265,MARTINSVILLE
2267,WANGI WANGI
2278,BARNSLEY
2278,KILLINGWORTH
2278,WAKEFIELD
2280,BELMONT
2280,BELMONT NORTH
2280,BELMONT SOUTH
2280,CROUDACE BAY
2280,FLORAVILLE
2280,JEWELLS
2280,MARKS POINT
2280,VALENTINE
2281,BLACKSMITHS
2281,CAMS WHARF
2281,CATHERINE HILL BAY
2281,CAVES BEACH
2281,LITTLE PELICAN
2281,MIDDLE CAMP
2281,MURRAYS BEACH
2281,NORDS WHARF
2281,PELICAN
2281,PINNY BEACH
2281,SWANSEA
2281,SWANSEA HEADS
2282,ELEEBANA
2282,LAKELANDS
2282,WARNERS BAY
2283,ARCADIA VALE
2283,AWABA
2283,BALMORAL
2283,BLACKALLS PARK
2283,BOLTON POINT
2283,BUTTABA
2283,CAREY BAY
2283,COAL POINT
2283,FASSIFERN
2283,FENNELL BAY
2283,FISHING POINT
2283,KILABEN BAY
2283,RATHMINES
2283,RYHOPE
2283,TORONTO
2284,ARGENTON
2284,BOOLAROO
2284,BOORAGUL
2284,MARMONG POINT
2284,SPEERS POINT
2284,TERALBA
2284,WOODRISING
2285,CAMERON PARK
2285,CARDIFF
2285,CARDIFF HEIGHTS
2285,CARDIFF SOUTH
2285,EDGEWORTH
2285,GLENDALE
2285,MACQUARIE HILLS
2286,HOLMESVILLE
2286,SEAHAMPTON
2286,WEST WALLSEND
2287,BIRMINGHAM GARDENS
2287,ELERMORE VALE
2287,FLETCHER
2287,MARYLAND
2287,MINMI
2287,RANKIN PARK
2287,SUMMER HILL
2287,WALLSEND
2287,WALLSEND DC
2287,WALLSEND SOUTH
2289,ADAMSTOWN
2289,ADAMSTOWN HEIGHTS
2289,GARDEN SUBURB
2289,HIGHFIELDS
2289,KOTARA
2289,KOTARA FAIR
2289,KOTARA SOUTH
2290,BENNETTS GREEN
2290,CHARLESTOWN
2290,DUDLEY
2290,GATESHEAD
2290,HILLSBOROUGH
2290,KAHIBAH
2290,MOUNT HUTTON
2290,REDHEAD
2290,TINGIRA HEIGHTS
2290,WHITEBRIDGE
2291,MEREWETHER
2291,MEREWETHER HEIGHTS
2291,THE JUNCTION
2292,BROADMEADOW
2292,HAMILTON NORTH
2293,MARYVILLE
2293,WICKHAM
2294,CARRINGTON
2295,FERN BAY
2295,STOCKTON
2296,ISLINGTON
2297,TIGHES HILL
2298,GEORGETOWN
2298,WARATAH
2298,WARATAH WEST
2299,Glen InnesLAMBTON
2299,JESMOND
2299,LAMBTON
2299,NORTH LAMBTON
2300,BAR BEACH
2300,COOKS HILL
2300,NEWCASTLE
2300,NEWCASTLE EAST
2300,THE HILL
2302,NEWCASTLE WEST
2303,HAMILTON
2303,HAMILTON DC
2303,HAMILTON EAST
2303,HAMILTON SOUTH
2304,KOORAGANG
2304,MAYFIELD
2304,MAYFIELD
2304,MAYFIELD EAST
2304,MAYFIELD NORTH
2304,MAYFIELD WEST
2304,SANDGATE
2304,WARABROOK
2305,KOTARA EAST
2305,NEW LAMBTON
2305,NEW LAMBTON HEIGHTS
2306,WINDALE
2307,SHORTLAND
2308,CALLAGHAN
2308,NEWCASTLE UNIVERSITY
2309,DANGAR
2310,HUNTER REGION MC
2311,ALLYNBROOK
2311,BINGLEBURRA
2311,BONNINGTON PARK
2311,CARRABOLLA
2311,EAST GRESFORD
2311,ECCLESTON
2311,GRESFORD
2311,HALTON
2311,LEWINSBROOK
2311,LOSTOCK
2311,MOUNT RIVERS
2311,UPPER ALLYN
2312,MINIMBAH
2312,NABIAC
2314,WILLIAMTOWN RAAF
2315,CORLETTE
2315,FINGAL BAY
2315,GAN GAN
2315,NELSON BAY
2315,SHOAL BAY
2316,ANNA BAY
2316,BOAT HARBOUR
2316,BOBS FARM
2316,FISHERMANS BAY
2316,ONE MILE
2316,TAYLORS BEACH
2317,SALAMANDER BAY
2317,SOLDIERS POINT
2318,CAMPVALE
2318,FERODALE
2318,FULLERTON COVE
2318,MEDOWIE
2318,OYSTER COVE
2318,SALT ASH
2318,WILLIAMTOWN
2319,LEMON TREE PASSAGE
2319,MALLABULA
2319,TANILBA BAY
2319,TILLIGERRY CREEK
2320,ABERGLASSLYN
2320,ALLANDALE
2320,ANAMBAH
2320,BOLWARRA
2320,BOLWARRA HEIGHTS
2320,FARLEY
2320,GLEN OAK
2320,GOSFORTH
2320,HILLSBOROUGH
2320,HORSESHOE BEND
2320,KEINBAH
2320,LARGS
2320,LORN
2320,LOUTH PARK
2320,MAITLAND
2320,MAITLAND NORTH
2320,MAITLAND VALE
2320,MELVILLE
2320,MINDARIBBA
2320,MOUNT DEE
2320,OAKHAMPTON
2320,OAKHAMPTON HEIGHTS
2320,POKOLBIN
2320,ROSEBROOK
2320,ROTHBURY
2320,RUTHERFORD
2320,SOUTH MAITLAND
2320,TELARAH
2320,WALLALONG
2320,WINDELLA
2321,BERRY PARK
2321,BUTTERWICK
2321,CLARENCE TOWN
2321,CLIFTLEIGH
2321,DUCKENFIELD
2321,DUNS CREEK
2321,GILLIESTON HEIGHTS
2321,GLEN MARTIN
2321,GLEN WILLIAM
2321,HARPERS HILL
2321,HEDDON GRETA
2321,HINTON
2321,IONA
2321,LOCHINVAR
2321,LUSKINTYRE
2321,MORPETH
2321,OSWALD
2321,PHOENIX PARK
2321,RAWORTH
2321,WINDERMERE
2321,WOERDEN
2321,WOODVILLE
2322,BERESFIELD
2322,BLACK HILL
2322,CHISHOLM
2322,HEXHAM
2322,LENAGHAN
2322,STOCKRINGTON
2322,TARRO
2322,THORNTON
2322,TOMAGO
2322,WOODBERRY
2323,ASHTONFIELD
2323,BRUNKERVILLE
2323,BUCHANAN
2323,BUTTAI
2323,EAST MAITLAND
2323,FOUR MILE CREEK
2323,FREEMANS WATERHOLE
2323,GREEN HILLS
2323,GREENHILLS
2323,METFORD
2323,METFORD DC
2323,MOUNT VINCENT
2323,MULBRING
2323,PITNACREE
2323,RICHMOND VALE
2323,TENAMBIT
2324,BALICKERA
2324,BRANDY HILL
2324,BUNDABAH
2324,CARRINGTON
2324,CELLS RIVER
2324,EAGLETON
2324,EAST SEAHAM
2324,HAWKS NEST
2324,HEATHERBRAE
2324,KARUAH
2324,KINGS HILL
2324,LIMEBURNERS CREEK
2324,MILLERS FOREST
2324,MOTTO FARM
2324,NELSONS PLAINS
2324,NORTH ARM COVE
2324,OSTERLEY
2324,PINDIMAR
2324,RAYMOND TERRACE
2324,RAYMOND TERRACE EAST
2324,SEAHAM
2324,SWAN BAY
2324,TAHLEE
2324,TEA GARDENS
2324,TWELVE MILE CREEK
2324,WALLAROO
2325,ABERDARE
2325,ABERNETHY
2325,BELLBIRD
2325,BELLBIRD HEIGHTS
2325,BOREE
2325,CEDAR CREEK
2325,CESSNOCK
2325,CESSNOCK WEST
2325,CONGEWAI
2325,CORRABARE
2325,DAIRY ARM
2325,ELLALONG
2325,ELRINGTON
2325,FERNANCES CROSSING
2325,GRETA MAIN
2325,KEARSLEY
2325,KITCHENER
2325,LAGUNA
2325,LOVEDALE
2325,MILLFIELD
2325,MILSONS ARM
